Time,Queue Size,Packet Loss,Link Utilization,Global Sync Detected,Average Queue Depth,Times Problem Detected,Average Time Difference between Problem,Variance of Time Difference
566,198,31,100.000000,1.000000,0.000000,8,60570.429688,26551748.000000
567,178,31,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
568,161,31,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
569,147,31,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
570,136,31,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
571,128,31,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
572,123,31,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
573,121,31,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
574,122,31,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
575,125,31,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
576,130,31,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
577,137,31,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
578,146,31,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
579,157,31,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
580,170,31,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
581,181,31,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
582,191,32,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
583,171,32,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
584,154,32,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
585,140,32,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
586,129,32,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
587,121,32,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
588,116,32,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
589,114,32,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
590,115,32,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
591,119,32,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
592,125,32,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
593,133,32,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
594,143,32,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
595,155,32,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
596,169,32,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
597,183,33,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
598,162,33,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
599,144,33,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
600,129,33,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
601,117,33,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
602,108,33,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
603,102,33,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
604,99,33,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
605,100,33,99.000000,0.000000,0.000000,8,60570.429688,26551748.000000
606,103,33,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
607,108,33,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
608,115,33,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
609,124,33,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
610,135,33,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
611,148,33,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
612,163,33,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
613,180,33,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
614,197,34,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
615,187,34,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
616,178,34,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
617,171,34,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
618,166,34,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
619,163,34,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
620,162,34,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
621,163,34,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
622,166,34,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
623,171,34,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
624,178,34,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
625,184,35,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
626,156,35,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
627,131,35,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
628,109,35,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
629,90,35,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
630,84,35,90.000000,0.000000,0.000000,8,60570.429688,26551748.000000
631,87,35,84.000000,0.000000,0.000000,8,60570.429688,26551748.000000
632,90,35,87.000000,0.000000,0.000000,8,60570.429688,26551748.000000
633,93,35,90.000000,0.000000,0.000000,8,60570.429688,26551748.000000
634,96,35,93.000000,0.000000,0.000000,8,60570.429688,26551748.000000
635,99,35,96.000000,0.000000,0.000000,8,60570.429688,26551748.000000
636,102,35,99.000000,0.000000,0.000000,8,60570.429688,26551748.000000
637,107,35,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
638,114,35,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
639,123,35,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
640,134,35,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
641,147,35,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
642,162,35,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
643,179,35,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
644,196,36,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
645,188,36,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
646,182,36,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
647,177,36,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
648,174,36,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
649,173,36,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
650,174,36,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
651,177,36,100.000000,0.000000,0.000000,8,60570.429688,26551748.000000
652,182,37,100.000000,1.000000,0.000000,9,63750.500000,55058872.000000
653,150,37,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
654,121,37,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
655,95,37,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
656,77,37,95.000000,0.000000,0.000000,9,63750.500000,55058872.000000
657,80,37,77.000000,0.000000,0.000000,9,63750.500000,55058872.000000
658,83,37,80.000000,0.000000,0.000000,9,63750.500000,55058872.000000
